,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist,song_type,Cluster_KNN_2,Cluster_kmean
641,0.799,0.632,10.0,-12.364,1.0,0.0332,0.0293,0.359,0.103,0.967,128.567,audio_features,5jUA1njy3h6ynHLvPdEVHt,spotify:track:5jUA1njy3h6ynHLvPdEVHt,https://api.spotify.com/v1/tracks/5jUA1njy3h6ynHLvPdEVHt,https://api.spotify.com/v1/audio-analysis/5jUA1njy3h6ynHLvPdEVHt,659000.0,4.0,Disco Inferno,The Trammps,nothot,10,10
642,0.558,0.527,6.0,-10.922,0.0,0.0259,0.0163,0.152,0.11,0.674,99.784,audio_features,4wJq75UFYtFYbMO2KBBnlw,spotify:track:4wJq75UFYtFYbMO2KBBnlw,https://api.spotify.com/v1/tracks/4wJq75UFYtFYbMO2KBBnlw,https://api.spotify.com/v1/audio-analysis/4wJq75UFYtFYbMO2KBBnlw,277689.0,4.0,Someone Somewhere (In Summertime),Simple Minds,nothot,8,8
643,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,audio_features,6b8Be6ljOzmkOmFslEb23P,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,225983.0,4.0,24K Magic,Bruno Mars,nothot,0,0
644,0.366,0.552,6.0,-8.35,1.0,0.0317,0.206,0.0595,0.178,0.114,97.98,audio_features,0Fao855T3klV3REFRFHRF3,spotify:track:0Fao855T3klV3REFRFHRF3,https://api.spotify.com/v1/tracks/0Fao855T3klV3REFRFHRF3,https://api.spotify.com/v1/audio-analysis/0Fao855T3klV3REFRFHRF3,597933.0,4.0,Blackstar,David Bowie,nothot,8,8
645,0.59,0.833,5.0,-6.503,0.0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,audio_features,4jL6WWKFDqCOPo2hC3VhSS,spotify:track:4jL6WWKFDqCOPo2hC3VhSS,https://api.spotify.com/v1/tracks/4jL6WWKFDqCOPo2hC3VhSS,https://api.spotify.com/v1/audio-analysis/4jL6WWKFDqCOPo2hC3VhSS,240439.0,4.0,Water Under the Bridge,Adele,nothot,6,6
646,0.591,0.28,4.0,-5.494,1.0,0.0283,0.889,0.0,0.124,0.348,141.916,audio_features,05TOt5Vz4StdjMpEdFPlvB,spotify:track:05TOt5Vz4StdjMpEdFPlvB,https://api.spotify.com/v1/tracks/05TOt5Vz4StdjMpEdFPlvB,https://api.spotify.com/v1/audio-analysis/05TOt5Vz4StdjMpEdFPlvB,271800.0,4.0,All I Ask,Adele,nothot,2,2
647,0.347,0.263,0.0,-12.471,1.0,0.0276,0.609,0.368,0.129,0.482,71.701,audio_features,5qVYlnoRWp2UFT5Hh4p91B,spotify:track:5qVYlnoRWp2UFT5Hh4p91B,https://api.spotify.com/v1/tracks/5qVYlnoRWp2UFT5Hh4p91B,https://api.spotify.com/v1/audio-analysis/5qVYlnoRWp2UFT5Hh4p91B,265013.0,4.0,We All Stand Together - Remastered 2016,Paul McCartney,nothot,3,3
648,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,audio_features,6i0V12jOa3mr6uu4WYhUBr,spotify:track:6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,195920.0,4.0,Heathens,Twenty One Pilots,nothot,0,0
649,0.361,0.507,4.0,-8.421,1.0,0.027,0.0406,0.0115,0.161,0.149,73.732,audio_features,6aqpe7OnVWwRY67ZxIWJDf,spotify:track:6aqpe7OnVWwRY67ZxIWJDf,https://api.spotify.com/v1/tracks/6aqpe7OnVWwRY67ZxIWJDf,https://api.spotify.com/v1/audio-analysis/6aqpe7OnVWwRY67ZxIWJDf,317662.0,4.0,Jacob’s Song,Douwe Bob,nothot,8,8
650,0.489,0.505,10.0,-8.022,0.0,0.117,0.579,0.000333,0.104,0.337,163.255,audio_features,0y1QJc3SJVPKJ1OvFmFqe6,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,https://api.spotify.com/v1/tracks/0y1QJc3SJVPKJ1OvFmFqe6,https://api.spotify.com/v1/audio-analysis/0y1QJc3SJVPKJ1OvFmFqe6,213707.0,4.0,Way Down We Go,KALEO,nothot,2,2
